"player","pos","pred_cost","pred_cost2","ppg"
"Brittan Golden","WR",36,36,0.104361538461538
"James Wright","WR",40,40,0.104092307692308
"Jake Kumerow","WR",34,34,0.0975538461538462
"Jalin Marshall","WR",45,45,0.0729
"Matthew Slater","WR",33,33,0.0621923076923077
"Marcus Harris","WR",63,63,0.0561538461538462
"Alex Collins","RB",15,15,0.9218
"Matt Hazel","WR",42,42,0.0531846153846154
"Mario Alford","WR",36,36,0.0328692307692308
"Seyi Ajirotutu","WR",1,1,0.0318307692307692
"Mike Davis","RB",32,32,0.899346153846154
"Tyler Varga","RB",104,104,0.888592307692308
"Damien Williams","RB",16,16,0.868184615384615
"Donnie Avery","WR",32,32,0
"Percy Harvin","WR",12,12,0
"Brandon Gibson","WR",35,35,0
"Brian Hartline","WR",30,30,0
"Trindon Holliday","WR",45,45,0
"Arrelious Benn","WR",62,62,0
"Riley Cooper","WR",53,53,0
"Jacoby Ford","WR",55,55,0
"Preston Parker","WR",55,55,0
"Jerrel Jernigan","WR",10,10,0
"Greg Little","WR",34,34,0
"Ricardo Lockette","WR",70,70,0
"Aldrick Robinson","WR",28,28,0
"Tandon Doss","WR",66,66,0
"Dwayne Bowe","WR",22,22,0
"Jacoby Jones","WR",46,46,0
"Miles Austin","WR",34,34,0
"Marques Colston","WR",27,27,0
"Derek Hagan","WR",32,32,0
"Greg Jennings","WR",55,55,0
"Kris Durham","WR",11,11,0
"Jerricho Cotchery","WR",32,32,0
"Josh Cribbs","WR",44,44,0
"Lance Moore","WR",34,34,0
"Roddy White","WR",32,32,0
"Santonio Holmes","WR",61,61,0
"David Nelson","WR",48,48,0
"Mike Williams","WR",17,17,0
"Vincent Brown","WR",31,31,0
"Drew Davis","WR",49,49,0
"Jarrett Boykin","WR",32,32,0
"LaVon Brazill","WR",3,3,0
"Ryan Broyles","WR",73,73,0
"LaRon Byrd","WR",40,40,0
"Juron Criner","WR",49,49,0
"T.J. Graham","WR",14,14,0
"Junior Hemingway","WR",66,66,0
"A.J. Jenkins","WR",46,46,0
"Chris Owusu","WR",31,31,0
"Nick Toon","WR",39,39,0
"Justin Blackmon","WR",72,72,0
"Brian Tyms","WR",61,61,0
"Nathan Palmer","WR",68,68,0
"Saalim Hakim","WR",33,33,0
"Mike Brown","WR",33,33,0
"Damaris Johnson","WR",52,52,0
"Cobi Hamilton","WR",57,57,0
"Tavarres King","WR",58,58,0
"Chris Harper","WR",33,33,0
"Aaron Dobson","WR",19,19,0
"Rodney Smith","WR",44,44,0
"Marlon Brown","WR",52,52,0
"Justin Brown","WR",36,36,0
"Kevin Dorsey","WR",48,48,0
"B.J. Daniels","WR",8,8,0
"Martavis Bryant","WR",32,32,0
"Shaq Evans","WR",51,51,0
"Robert Herron","WR",66,66,0
"Isaiah Burse","WR",1,1,0
"Freddie Martino","WR",40,40,0
"Kain Colter","WR",1,1,0
"Seantavius Jones","WR",50,50,0
"Corey Washington","WR",51,51,0
"Tony Washington","WR",36,36,0
"Tre McBride","WR",49,49,0
"DaRon Brown","WR",68,68,0
"Duron Carter","WR",19,19,0
"Evan Spencer","WR",19,19,0
"Neal Sterling","WR",30,30,0
"Andre Debose","WR",38,38,0
"DeAndre Carter","WR",4,4,0
"Antwan Goodley","WR",26,26,0
"Levi Norwood","WR",41,41,0
"Jaxon Shipley","WR",25,25,0
"Jordan Taylor","WR",1,1,0
"Chris Harper","WR",26,26,0
"Josh Harper","WR",46,46,0
"Jordan Leslie","WR",23,23,0
"Rasheed Bailey","WR",8,8,0
"Devante Davis","WR",50,50,0
"Rannell Hall","WR",46,46,0
"Tyler Murphy","WR",16,16,0
"Chandler Worthy","WR",28,28,0
"R.J. Harris","WR",6,6,0
"Deon Long","WR",30,30,0
"Andrew Turzilli","WR",32,32,0
"Austin Willis","WR",22,22,0
"Titus Davis","WR",16,16,0
"Austin Hill","WR",39,39,0
"Darius Jennings","WR",44,44,0
"Daniel Brown","WR",17,17,0
"Shakim Phillips","WR",62,62,0
"Anthony Dable","WR",19,19,0
"Daniel Braverman","WR",18,18,0
"Devon Cajuste","WR",60,60,0
"D.J. Foster","WR",32,32,0
"Andy Jones","WR",47,47,0
"Keyarris Garrett","WR",74,74,0
"Vince Mayle","WR",55,55,-0.00356923076923077
"Dres Anderson","WR",40,40,-0.00692307692307692
"Kenjon Barner","RB",21,21,0.790930769230769
"Jalston Fowler","RB",50,50,0.790038461538462
"Aaron Ripkowski","RB",37,37,0.770276923076923
"Michael Burton","RB",34,34,0.736269230769231
"Jonathan Williams","RB",61,61,0.705315384615385
"Austin Johnson","RB",4,4,0.606546153846154
"Knile Davis","RB",40,40,0.602230769230769
"Stepfan Taylor","RB",5,5,0.595730769230769
"Marcus Murphy","RB",56,56,0.576892307692308
"Mike James","RB",42,42,0.568284615384615
"Silas Redd","RB",31,31,0.560207692307692
"Derrick Coleman","RB",71,71,0.553846153846154
"Juwan Thompson","RB",45,45,0.550738461538462
"Will Johnson","RB",68,68,0.529861538461538
"Rod Smith","RB",4,4,0.524038461538462
"Raheem Mostert","RB",69,69,0.506353846153846
"David Cobb","RB",53,53,0.495138461538462
"Dwayne Washington","RB",44,44,0.486976923076923
"Terrell Watson","RB",58,58,0.480769230769231
"Tommy Bohanon","RB",69,69,0.480215384615385
"Anthony Sherman","RB",33,33,0.471076923076923
"Malcolm Johnson","RB",40,40,0.415384615384615
"Jay Prosch","RB",40,40,0.412138461538462
"Jerome Felton","RB",27,27,0.410192307692308
"Bryce Brown","RB",43,43,0.353261538461538
"James Develin","RB",32,32,0.346115384615385
"Malcolm Brown","RB",21,21,0.332869230769231
"Daniel Lasco","RB",25,25,0.3232
"Shaun Suisham","K",30,30,1.87951538461538
"Daryl Richardson","RB",36,36,0.290930769230769
"Roy Helu","RB",51,51,0.287792307692308
"John Crockett","RB",47,47,0.282984615384615
"Kapri Bibbs","RB",21,21,0.259323076923077
"Lorenzo Taliaferro","RB",28,28,0.252684615384615
"Bobby Rainey","RB",32,32,0.243569230769231
"Nikita Whitlock","RB",29,29,0.222461538461538
"Akeem Hunt","RB",17,17,0.199607692307692
"Cedric Peerman","RB",71,71,0.194276923076923
"Zac Stacy","RB",56,56,0.173576923076923
"John Kuhn","RB",58,58,0.167676923076923
"Kendall Gaskins","RB",32,32,0.167215384615385
"Corey Grant","RB",3,3,0.158807692307692
"Shayne Graham","K",21,21,1.74560769230769
"Gus Johnson","RB",68,68,0.140115384615385
"Bernard Pierce","RB",29,29,0.0893230769230769
"George Winn","RB",75,75,0.08
"Roosevelt Nix","RB",41,41,0.0781076923076923
"Chase Reynolds","RB",31,31,0.0770692307692308
"Brandon Wegher","RB",3,3,0.0550230769230769
"George Atkinson","RB",85,85,0.0128615384615385
"Peyton Barber","RB",36,36,0.0100307692307692
"Trey Williams","RB",68,68,0.00166923076923077
"Ray Rice","RB",11,11,0
"Jed Collins","RB",15,15,0
"Shonn Greene","RB",39,39,0
"Knowshon Moreno","RB",38,38,0
"Chris Ogbonnaya","RB",55,55,0
"Erik Lorig","RB",37,37,0
"Joique Bell","RB",9,9,0
"Anthony Dixon","RB",21,21,0
"Jonathan Dwyer","RB",54,54,0
"Toby Gerhart","RB",18,18,0
"Deji Karim","RB",48,48,0
"Kendall Hunter","RB",55,55,0
"Daniel Thomas","RB",3,3,0
"Ahmad Bradshaw","RB",35,35,0
"Brian Leonard","RB",36,36,0
"Marshawn Lynch","RB",43,43,0
"Steven Jackson","RB",42,42,0
"Ronnie Brown","RB",1,1,0
"Fred Jackson","RB",25,25,0
"Pierre Thomas","RB",23,23,0
"Jackie Battle","RB",19,19,0
"Darrel Young","RB",55,55,0
"John Conner","RB",38,38,0
"Tyler Clutts","RB",16,16,0
"Will Tukuafu","RB",7,7,0
"Robert Hughes","RB",40,40,0
"Henry Hynoski","RB",29,29,0
"Cyrus Gray","RB",15,15,0
"Dan Herron","RB",64,64,0
"Isaiah Pead","RB",50,50,0
"Vick Ballard","RB",36,36,0
"Trent Richardson","RB",1,1,0
"LaMichael James","RB",29,29,0
"Chris Polk","RB",59,59,0
"Edwin Baker","RB",12,12,0
"Joe Banyard","RB",30,30,0
"Jorvorskie Lane","RB",82,82,0
"Cameron Marshall","RB",11,11,0
"Montee Ball","RB",19,19,0
"Joseph Randle","RB",31,31,0
"Matthew Tucker","RB",22,22,0
"Michael Cox","RB",34,34,0
"Lache Seastrunk","RB",48,48,0
"Storm Johnson","RB",27,27,0
"Dri Archer","RB",22,22,0
"Tyler Gaffney","RB",58,58,0
"Bishop Sankey","RB",55,55,0
"Marion Grice","RB",10,10,0
"Rajion Neal","RB",60,60,0
"James Wilder","RB",41,41,0
"Trey Watts","RB",1,1,0
"Darrin Reaves","RB",13,13,0
"Senorise Perry","RB",75,75,0
"Josh Harris","RB",27,27,0
"Terrence Magee","RB",13,13,0
"Kenny Hilliard","RB",31,31,0
"Joey Iosefa","RB",8,8,0
"Jarryd Hayne","RB",29,29,0
"Josh Robinson","RB",42,42,0
"Alonzo Harris","RB",70,70,0
"Michael Dyer","RB",87,87,0
"Dreamius Smith","RB",42,42,0
"Jahwan Edwards","RB",62,62,0
"Marshaun Coprich","RB",48,48,0
"Devon Johnson","RB",21,21,0
"Glenn Winston","RB",80,80,-0.1253
"Garrett Hartley","K",32,32,0
"Alex Henery","K",34,34,0
"Billy Cundiff","K",31,31,0
"Josh Scobee","K",31,31,0
"Jordan Gay","K",50,50,0
"Patrick Murray","K",51,51,0
"Zach Hocker","K",38,38,0
"Nate Freese","K",45,45,0
"Carey Spear","K",23,23,0
"Kyle Brindza","K",12,12,0
"Tom Obarski","K",45,45,0
"Colin Kaepernick","QB",60,60,5.77984615384615
"Jimmy Garoppolo","QB",35,35,5.01795384615385
"Case Keenum","QB",45,45,3.96327692307692
"Josh McCown","QB",68,68,3.86479230769231
"Kellen Moore","QB",11,11,3.8287
"Carson Wentz","QB",45,45,3.78215384615385
"Paxton Lynch","QB",26,26,3.72962307692308
"Geno Smith","QB",67,67,2.04216153846154
"Brian Hoyer","QB",27,27,1.92310769230769
"Trevor Siemian","QB",42,42,1.67896923076923
"Colt McCoy","QB",37,37,1.14470769230769
"Brandon Weeden","QB",28,28,1.07976153846154
"Chase Daniel","QB",65,65,1.02247692307692
"AJ McCarron","QB",25,25,0.964369230769231
"Dak Prescott","QB",26,26,0.953792307692308
"Matt Cassel","QB",43,43,0.909430769230769
"Cody Kessler","QB",64,64,0.835584615384615
"Mike Glennon","QB",35,35,0.7575
"Drew Stanton","QB",44,44,0.7385
"Dan Orlovsky","QB",57,57,0.674792307692308
"Bruce Gradkowski","QB",82,82,0.6739
"EJ Manuel","QB",53,53,0.667192307692308
"Matt McGloin","QB",59,59,0.583007692307692
"Shaun Hill","QB",52,52,0.540192307692308
"Ryan Mallett","QB",38,38,0.485207692307692
"Ryan Nassib","QB",52,52,0.428730769230769
"Chad Henne","QB",39,39,0.401807692307692
"Landry Jones","QB",24,24,0.378969230769231
"Scott Tolzien","QB",56,56,0.364230769230769
"Kellen Clemens","QB",27,27,0.355369230769231
"Austin Davis","QB",53,53,0.335846153846154
"Tarvaris Jackson","QB",20,20,0.218923076923077
"Zach Mettenberger","QB",16,16,0.210553846153846
"Tom Savage","QB",77,77,0.205415384615385
"Derek Anderson","QB",69,69,0.195730769230769
"Matt Moore","QB",44,44,0.186746153846154
"Cardale Jones","QB",30,30,0.1656
"Brett Hundley","QB",28,28,0.128415384615385
"Nick Foles","QB",54,54,0.126361538461538
"Luke McCown","QB",17,17,0.104092307692308
"Garrett Grayson","QB",8,8,0.0813307692307692
"Aaron Murray","QB",57,57,0.0798923076923077
"Tyler Bray","QB",45,45,0.0784230769230769
"Joe Webb","QB",65,65,0.0765461538461538
"Matt Barkley","QB",38,38,0.0732
"Bryce Petty","QB",39,39,0.0537461538461538
"T.J. Yates","QB",81,81,0.0364
"Matt Schaub","QB",51,51,0.0351461538461538
"Connor Cook","QB",75,75,0.0341615384615385
"Jacoby Brissett","QB",48,48,0.0232307692307692
"Christian Hackenberg","QB",31,31,0.0144615384615385
"Josh Johnson","QB",70,70,0
"Josh Freeman","QB",16,16,0
"Jimmy Clausen","QB",91,91,0
"Thad Lewis","QB",1,1,0
"Tim Tebow","QB",55,55,0
"Christian Ponder","QB",32,32,0
"Charlie Whitehurst","QB",29,29,0
"Michael Vick","QB",59,59,0
"Jordan Palmer","QB",57,57,0
"Ryan Lindley","QB",48,48,0
"Matt Simms","QB",47,47,0
"Matt Blanchard","QB",15,15,0
"Zac Dysert","QB",62,62,0
"Ryan Griffin","QB",67,67,0
"B.J. Daniels","QB",45,45,0
"Johnny Manziel","QB",60,60,0
"David Fales","QB",33,33,0
"Logan Thomas","QB",47,47,0
"Keith Wenning","QB",48,48,0
"Garrett Gilbert","QB",34,34,0
"Bryn Renner","QB",24,24,0
"Connor Shaw","QB",15,15,0
"Stephen Morris","QB",26,26,0
"Dustin Vaughan","QB",51,51,0
"Sean Mannion","QB",24,24,0
"Kevin Hogan","QB",35,35,0
"Matt Flynn","QB",27,27,-0.00954615384615385
"Sean Renfree","QB",1,1,-0.0233923076923077
